These	These	np1	These	Theise	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
value	value	n1	valve	value	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
marchandize	marchandize	n1	merchandise	merchandise	0
so	so	av	so	so	0
brought	brought	vvn	brought	bring	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
&	&	cc	&	and	0
that	that	cst	that	that	0
thereupon	thereupon	av	thereupon	thereupon	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
customs	customs	n2	customs	custom	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
the	the	dt	the	the	0
customes	customes	n2	customs	custom	0
of	of	pp-f	of	of	0
3-d	3-d	j	3-d	3-d	0
.	.	.	.	.	0
justly	justly	av-j	justly	just	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
paid	paid	vvn	paid	pay	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
nowe	nowe	av	now	now	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
lorde	lorde	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
put	put	vvd	put	put	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
higher	higher	jc	higher	high	0
rate	rate	n1	rate	rate	0
then	then	cs	then	than	0
they	they	pns32	they	they	0
ought	ought	vmd	ought	ought	0
or	or	cc	or	or	0
were	were	vbdr	were	be	0
woont	woont	vvn	wont	wont	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
:	:	:	:	:	0
and	and	cc	and	and	0
heereupon	heereupon	av	hereupon	hereupon	0
they	they	pns32	they	they	0
compell	compell	vvb	compel	compel	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
custome	custome	n1	custom	custom	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
pleasure	pleasure	n1	pleasure	pleasure	0
,	,	,	,	,	0
scanning	scanning	vvg	scanning	scan	0
about	about	p-acp	about	about	0
their	their	po32	their	their	0
fraight	fraight	vvn	fraught	fraught	0
and	and	cc	and	and	0
expenses	expenses	n2	expenses	expense	0
particularly	particularly	av-j	particularly	particular	0
disbursed	disbursed	vvn	disbursed	disburse	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
goods	goods	n2-j	goods	good	0
and	and	cc	and	and	0
marchandize	marchandize	n1	merchandise	merchandise	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
hinderance	hinderance	n1	hindrance	hindrance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
,	,	,	,	,	0
and	and	cc	and	and	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
tenor	tenor	n1	tenor	tenor	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
charter	charter	n1	charter	charter	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
pitiful	pitiful	j	pitiful	pitiful	0
complaint	complaint	n1	complaint	complaint	0
do	do	vdb	do	do	0
alleage	alleage	vvi	allege	allege	0
,	,	,	,	,	0
that	that	cst	that	that	0
whereas	whereas	cs	whereas	whereas	0
the	the	dt	the	the	0
worthy	worthy	j	worthy	worthy	0
progenitors	progenitors	n2	progenitors	progenitor	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
that	that	cst	that	that	0
now	now	av	now	now	0
is	is	vbz	is	be	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
vertue	vertue	n1	virtue	virtue	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
great	great	j	great	great	0
charter	charter	n1	charter	charter	0
,	,	,	,	,	0
graunted	graunted	vvd	granted	grant	0
libertie	libertie	n1	liberty	liberty	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
the	the	dt	the	the	0
customes	customes	n2	customs	custom	0
of	of	pp-f	of	of	0
certain	certain	j	certain	certain	0
clothes	clothes	n2	clothes	clothes	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
of	of	pp-f	of	of	0
skarlet	skarlet	j-jn	scarlet	scarlet	0
,	,	,	,	,	0
and	and	cc	and	and	0
cloth	cloth	n1	cloth	cloth	0
died	died	vvd	died	die	0
in	in	p-acp	in	in	0
grayne	grayne	n1	grain	grain	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
clothes	clothes	n2	clothes	clothes	0
of	of	pp-f	of	of	0
assise	assise	n1	assize	assize	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
caried	caried	vvn	carried	carry	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
even	even	av	even	even	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
Charter	Charter	n1	Charter	charter	0
it	it	pn31	it	it	0
doeth	doeth	vdz	doth	do	0
more	more	n1	more	moor	0
plainly	plainly	av-j	plainly	plain	0
appeare	appeare	vvi	appear	appear	0
:	:	:	:	:	0
and	and	cc	and	and	0
whereas	whereas	cs	whereas	whereas	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
that	that	cst	that	that	0
now	now	av	now	now	0
is	is	vbz	is	be	0
(	(	(	(	(	0
ratifying	ratifying	vvg	ratifying	ratify	0
and	and	cc	and	and	0
confirming	confirming	vvg	confirming	confirm	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
charter	charter	n1	charter	charter	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
willing	willing	j	willing	willing	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shoulde	shoulde	vmd	should	shall	0
have	have	vhi	have	have	0
more	more	dc	more	more	0
especiall	especiall	j	especial	especial	0
favour	favour	n1	favour	favour	0
shewed	shewed	vvd	showed	show	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
)	)	)	)	)	0
granted	granted	vvd	granted	grant	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
Charter	Charter	n1	Charter	charter	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
exempted	exempted	vvn	exempted	exempt	0
and	and	cc	and	and	0
freed	freed	vvn	freed	free	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
custome	custome	n1	custom	custom	0
and	and	cc	and	and	0
imposition	imposition	n1	imposition	imposition	0
of	of	pp-f	of	of	0
small	small	j	small	small	0
clothes	clothes	n2	clothes	clothes	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
pieces	pieces	n2	pieces	piece	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
narrow	narrow	j	narrow	narrow	0
clothes	clothes	n2	clothes	clothes	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
assise	assise	n1	assize	assize	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
other	other	j-jn	other	other	0
clothes	clothes	n2	clothes	clothes	0
of	of	pp-f	of	of	0
like	like	j	like	like	0
qualitie	qualitie	n1	quality	quality	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
the	the	dt	the	the	0
Customers	Customers	n2	Customers	customer	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lorde	Lorde	n1	Lord	lord	0
the	the	dt	the	the	0
King	King	n1	King	king	0
that	that	cst	that	that	0
nowe	nowe	av	now	now	0
is	is	vbz	is	be	0
,	,	,	,	,	0
not	not	xx	not	not	0
allow-74	allow-74	j	allow-74	allow-74	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
ing	ing	zz	ing	ing	0
their	their	po32	their	their	0
saide	saide	j-vvn	said	say	0
speciali	speciali	fw-la	speciali	speciali	0
Charter	Charter	n1	Charter	charter	0
so	so	av	so	so	0
graunted	graunted	vvd	granted	grant	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
speciali	speciali	fw-la	speciali	speciali	0
marchants	marchants	n2	merchants	merchant	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
,	,	,	,	,	0
do	do	vdb	do	do	0
compel	compel	vvi	compel	compel	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
for	for	p-acp	for	for	0
straight	straight	j	straight	straight	0
Charter	Charter	n1	Charter	charter	0
.	.	.	.	.	0
clothes	clothes	n2	clothes	clothes	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
pieces	pieces	n2	pieces	piece	0
of	of	pp-f	of	of	0
clothes	clothes	n2	clothes	clothes	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
assise	assise	n1	assize	assize	0
,	,	,	,	,	0
(	(	(	(	(	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
demands	demands	n2	demands	demand	0
particularly	particularly	av-j	particularly	particular	0
&	&	cc	&	and	0
severally	severally	av-j	severally	several	0
made	made	vvn	made	make	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
great	great	j	great	great	0
custome	custome	n1	custom	custom	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
the	the	dt	the	the	0
clothes	clothes	n2	clothes	clothes	0
were	were	vbdr	were	be	0
full	full	j	full	full	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
assise	assise	n1	assize	assize	0
.	.	.	.	.	1
Moreover	Moreover	np1	Moreover	Moreover	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
,	,	,	,	,	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
smal	smal	j	small	small	0
The	The	dt	The	the	0
customers	customers	n2	customers	customer	0
or	or	cc	or	or	0
pety	pety	j	petty	petty	0
custome	custome	n1	custom	custom	0
&	&	cc	&	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
subsidie	subsidie	n1	subsidy	subsidy	0
doe	doe	vdb	do	do	0
demand	demand	vvi	demand	demand	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
oftheW	oftheW	np1	oftheW	oftheW	0
)	)	)	)	)	0
custome	custome	n1	custom	custom	0
for	for	p-acp	for	for	0
kersey-clothes	kersey-clothes	n2	kersey-clothes	kersey-clothe	0
equal	equal	j-jn	equal	equal	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
custome	custome	n1	custom	custom	0
of	of	pp-f	of	of	0
'	'	pn31	'	it	0
those	those	d	those	those	0
clothes	clothes	n2	clothes	clothes	0
,	,	,	,	,	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
of	of	pp-f	of	of	0
ful	ful	j	full	full	0
assise	assise	n1	assize	assize	0
,	,	,	,	,	0
whereas	whereas	cs	whereas	whereas	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
wont	wont	j	wont	wont	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
for	for	p-acp	for	for	0
those	those	d	those	those	0
kerseys	kerseys	n2	kerseys	kersey	0
by	by	p-acp	by	by	0
vertue	vertue	n1	virtue	virtue	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Charter	Charter	n1	Charter	charter	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worth	worth	n1	worth	worth	0
of	of	pp-f	of	of	0
ech	ech	d	each	each	0
pound	pound	n1	pound	pound	0
of	of	pp-f	of	of	0
silver	silver	n1	silver	silver	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
namely	namely	av	namely	namely	0
for	for	c-acp	for	for	0
other	other	j-jn	other	other	0
goods	goods	n2-j	goods	good	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
golde	golde	n1	gold	gold	0
weight	weight	n1	weight	weight	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
hinderance	hinderance	n1	hindrance	hindrance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
parties	parties	n2	parties	party	0
,	,	,	,	,	0
and	and	cc	and	and	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
manifest	manifest	j	manifest	manifest	0
graunt	graunt	n1	grant	grant	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
Lord	Lord	n1	Lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
appeareth	appeareth	vvz	appears	appear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
speciali	speciali	fw-la	speciali	speciali	0
Charter	Charter	n1	Charter	charter	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
alleage	alleage	vvi	allege	allege	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
privi-ledged	privi-ledged	j	privileged	privileged	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
Charter	Charter	n1	Charter	charter	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
pay	pay	vvb	pay	pay	0
custome	custome	n1	custom	custom	0
and	and	cc	and	and	0
subsidy	subsidy	n1	subsidy	subsidy	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
port	port	n1	port	port	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
where	where	c-crq	where	where	0
those	those	d	those	those	0
goods	goods	n2-j	goods	good	0
have	have	vhb	have	have	0
arrived	arrived	vvn	arrived	arrive	0
,	,	,	,	,	0
and	and	cc	and	and	0
afterward	afterward	av	afterwards	afterward	0
would	would	vmd	would	will	0
transport	transport	vvi	transport	transport	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
goods	goods	n2-j	goods	good	0
or	or	cc	or	or	0
any	any	av-d	any	any	0
part	part	vvi	part	part	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
unto	unto	p-acp	unto	unto	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
port	port	n1	port	port	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
:	:	:	:	:	0
that	that	cst	that	that	0
then	then	cs	then	than	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
quite	quite	av	quite	quite	0
released	released	vvn	released	release	0
from	from	p-acp	from	from	0
paying	paying	vvg	paying	pay	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
custome	custome	n1	custom	custom	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
bring	bring	vvb	bring	bring	0
a	a	dt	a	a	0
warrant	warrant	n1	warrant	warrant	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
paide	paide	vvn	paid	pay	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
custome	custome	n1	custom	custom	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
aforesaide	aforesaide	j	aforesaid	aforesaid	0
.	.	.	.	.	1
Of	Of	pp-f	Of	of	0
late	late	av-j	late	late	0
it	it	pn31	it	it	0
fortuned	fortuned	vvd	fortuned	fortune	0
,	,	,	,	,	0
that	that	cst	that	that	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
societie	societie	n1	society	society	0
named	named	vvn	nam	name	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
Crossehaire	Crossehaire	n1	Crossehaire	crossehaire	0
,	,	,	,	,	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
1405.	1405.	crd	1405.	1405.	0
marchant	marchant	n1	merchant	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lande	lande	n1	land	land	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
immediatly	immediatly	av-j	immediately	immediate	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
concord	concord	n1	concord	concord	0
was	was	vbds	was	be	0
concluded	concluded	vvn	concluded	conclude	0
betwene	betwene	p-acp	between	between	0
the	the	dt	the	the	0
English	English	jp	English	english	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Prussians	Prussians	np1	Prussians	Prussians	0
,	,	,	,	,	0
brought	brought	vvn	brought	bring	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
Sandwich	Sandwich	np1	Sandwich	Sandwich	0
a	a	dt	a	a	0
shippe	shippe	n1	ship	ship	0
laden	laden	vvn	laden	lade	0
with	with	p-acp	with	with	0
bow-staves	bow-staves	n2	bowstaves	bowstave	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
marchandize	marchandize	n1	merchandise	merchandise	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
well	well	av	well	well	0
and	and	cc	and	and	0
truely	truely	av-j	truly	true	0
paide	paide	vvn	paid	pay	0
the	the	dt	the	the	0
custome	custome	n1	custom	custom	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
his	his	po31	his	his	0
wares	wares	n2	wares	ware	0
:	:	:	:	:	0
and	and	cc	and	and	0
selling	selling	vvg	selling	sell	0
there	there	pc-acp	there	there	0
part	part	vvi	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
he	he	pns31	he	he	0
afterward	afterward	av	afterwards	afterward	0
transported	transported	vvn	transported	transport	0
parcel	parcel	n1	parcel	parcel	0
thereof	thereof	av	thereof	thereof	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
small	small	j	small	small	0
barke	barke	n1	bark	bark	0
unto	unto	p-acp	unto	unto	0
London	London	np1	London	London	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
solde	solde	vvn	sold	sell	0
,	,	,	,	,	0
and	and	cc	and	and	0
caried	caried	vvd	carried	carry	0
a	a	dt	a	a	0
warrant	warrant	n1	warrant	warrant	0
also	also	av	also	also	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
at	at	p-acp	at	at	0
Sandwich	Sandwich	np1	Sandwich	Sandwich	0
paid	paid	vvd	paid	pay	0
the	the	dt	the	the	0
custome	custome	n1	custom	custom	0
due	due	j-jn	due	due	0
unto	unto	p-acp	unto	unto	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
:	:	:	:	:	0
&	&	cc	&	and	0
yet	yet	av	yet	yet	0
(	(	(	(	(	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
warrant	warrant	n1	warrant	warrant	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
)	)	)	)	)	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
pety	pety	j	petty	petty	0
custome	custome	n1	custom	custom	0
&	&	cc	&	and	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
subsidy	subsidy	n1	subsidy	subsidy	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
came	came	vvd	came	come	0
&	&	cc	&	and	0
demanded	demanded	vvd	demanded	demand	0
custome	custome	n1	custom	custom	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
at	at	p-acp	at	at	0
another	another	j-jn	another	another	0
time	time	n1	time	time	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
&	&	cc	&	and	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
tenor	tenor	n1	tenor	tenor	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
charter	charter	n1	charter	charter	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
offred	offred	vvd	offered	offer	0
pledges	pledges	n2	pledges	pledge	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
even	even	av	even	even	0
ready	ready	j	ready	ready	0
money	money	n1	money	money	0
downe	downe	a-acp	down	down	0
into	into	p-acp	into	into	0
their	their	po32	their	their	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
the	the	dt	the	the	0
question	question	n1	question	question	0
were	were	vbdr	were	be	0
discussed	discussed	vvn	discussed	discuss	0
and	and	cc	and	and	0
determined	determined	vvn	determined	determine	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
pay	pay	vvi	pay	pay	0
new	new	j	new	new	0
custome	custome	n1	custom	custom	0
or	or	cc	or	or	0
no	no	dx	no	no	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
this	this	d	this	this	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
doe	doe	vdi	do	do	0
.	.	.	.	.	1
Then	Then	av	Then	then	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
brought	brought	vvd	brought	bring	0
a	a	dt	a	a	0
brief	brief	j	brief	brief	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
himselfe	himselfe	px31	himself	himself	0
discharged	discharged	vvn	discharged	discharge	0
from	from	p-acp	from	from	0
paying	paying	vvg	paying	pay	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
custome	custome	n1	custom	custom	0
:	:	:	:	:	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
that	that	d	that	that	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
customers	customers	n2	customers	customer	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
have	have	vhi	have	have	0
regard	regard	n1	regard	regard	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
kept	kept	vvd	kept	keep	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
goods	goods	n2-j	goods	good	0
within	within	p-acp	within	within	0
shipboord	shipboord	n1	shipboard	shipboard	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Thames	Thames	np1	Thames	Thames	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
15.	15.	crd	15.	15.	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
paid	paid	vvn	paid	pay	0
another	another	j-jn	another	another	0
custom	custom	n1	custom	custom	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
losse	losse	n1	loss	loss	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
sold	sold	vvd	sold	sell	0
first	first	ord	first	first	0
at	at	p-acp	at	at	0
Sandwich	Sandwich	np1	Sandwich	Sandwich	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
delivered	delivered	vvn	delivered	deliver	0
at	at	p-acp	at	at	0
London	London	np1	London	London	0
for	for	p-acp	for	for	0
seven	seven	crd	seven	seven	0
nobles	nobles	n2-j	nobles	noble	0
,	,	,	,	,	0
he	he	pns31	he	he	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
afterward	afterward	av	afterwards	afterward	0
have	have	vhi	have	have	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
above	above	p-acp	above	above	0
foure	foure	crd	foure	four	0
nobles	nobles	n2-j	nobles	noble	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
