Here	Here	av	Here	here	0
del	del	fw-it	del	del	0
Sal	Sal	fw-la	Sal	sal	0
,	,	,	,	,	0
or	or	cc	or	or	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
salt	salt	n1	salt	salt	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
called	called	vvd	called	call	0
Buena	Buena	fw-es	Buena	buena	0
vista	vista	fw-la	vista	vista	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Sant	Sant	np1	Sant	Sant	0
Iago	Iago	np1	Iago	Iago	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
latitudes	latitudes	n2	latitudes	latitude	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
Islands	Islands	n2	Islands	island	0
,	,	,	,	,	0
Capes	Capes	n2	Capes	cape	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Margarita	Margarita	np1	Margarita	Margarita	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Cumana	Cumana	np1	Cumana	Cumana	0
Westward	Westward	av	Westward	westward	0
along	along	p-acp	along	along	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Tierra	Tierra	np1	Tierra	Tierra	0
Firma	Firma	np1	Firma	Firma	0
.	.	.	.	.	1
Santa	Santa	np1	Santa	Santa	0
i8	i8	n1	i8	i8	0
|	|	|	|	|	0
ui	ui	crd	ui	ui	0
16	16	crd	16	16	0
15	15	crd	15	15	0
[	[	[	[	[	0
in	in	p-acp	in	in	0
.	.	.	.	.	1
626.	626.	crd	626.	626.	0
]	]	]	]	]	1
Degrees	Degrees	n2	Degrees	degree	0
of	of	pp-f	of	of	0
latitude	latitude	n1	latitude	latitude	0
.	.	.	.	.	1
The	The	dt	The	the	0
isles	isles	n2	isles	isle	0
of	of	pp-f	of	of	0
Aruba	Aruba	np1	Aruba	Aruba	0
,	,	,	,	,	0
Curazao	Curazao	np1	Curazao	Curazao	0
,	,	,	,	,	0
and	and	cc	and	and	0
Buinaro	Buinaro	np1	Buinaro	Buinaro	0
stand	stand	vvb	stand	stand	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Margarita	Margarita	np1	Margarita	Margarita	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
islandes	islandes	n2	islands	island	0
called	called	vvn	called	call	0
Los	Los	fw-la	Los	los	0
Testigos	Testigos	n2	Testigos	testigo	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Baya	Baya	np1	Baya	Baya	0
Honda	Honda	fw-la	Honda	honda	0
to	to	p-acp	to	to	0
Cape	Cape	n1	Cape	cape	0
de	de	fw-fr	de	de	0
la	la	fw-fr	la	la	0
Vela	Vela	np1	Vela	Vela	0
lyeth	lyeth	vvz	lies	lie	0
East	East	n1	East	east	0
and	and	cc	and	and	0
West	West	n1	West	west	0
in	in	p-acp	in	in	0
Cape	Cape	n1	Cape	cape	0
del	del	fw-it	del	del	0
Aguja	Aguja	np1	Aguja	Aguja	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
rockes	rockes	n2	rocks	rock	0
of	of	pp-f	of	of	0
Serrana	Serrana	np1	Serrana	Serrana	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
Roncador	Roncador	fw-es	Roncador	roncador	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Santa	Santa	np1	Santa	Santa	0
Catelina	Catelina	np1	Catelina	Catelina	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Sant	Sant	np1	Sant	Sant	0
Andrew	Andrew	np1	Andrew	Andrew	0
in	in	p-acp	in	in	0
335	335	crd	335	335	0
12	12	crd	12	12	0
11	11	crd	11	11	0
12	12	crd	12	12	0
14	14	crd	14	14	0
x3i	x3i	n2	x3i	x3i	0
12	12	crd	12	12	0
j	j	crd	j	j	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Centanilla	Centanilla	np1	Centanilla	Centanilla	0
or	or	cc	or	or	0
Santanilla	Santanilla	fw-la	Santanilla	santanilla	0
in	in	p-acp	in	in	0
17J	17J	fw-la	17J	17j	0
Cape	Cape	n1	Cape	cape	0
Camaron	Camaron	np1	Camaron	Camaron	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
,	,	,	,	,	0
South	South	n1	South	south	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
enterance	enterance	n1	entrance	entrance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Honduras	Honduras	np1	Honduras	Honduras	0
16	16	crd	16	16	0
Ganaba	Ganaba	np1	Ganaba	Ganaba	0
in	in	p-acp	in	in	0
Genaza	Genaza	np1	Genaza	Genaza	0
in	in	p-acp	in	in	0
1	1	crd	1	1	1
